wavelength_Angstroms,flux,uncertainty
12855.68,1.2187,0.07
12855.86,1.1643,0.07
12856.05,1.0942,0.07
12856.23,1.0392,0.07
12856.42,0.9714,0.07
12856.6,0.9142,0.07
12856.79,0.8973,0.07
12856.97,0.9203,0.07
12857.16,0.9822,0.07
12857.34,1.0674,0.07
12857.53,1.1278,0.07
12857.71,1.1856,0.07
12857.9,1.2139,0.07
12858.08,1.256,0.07
12858.26,1.3002,0.07
12858.45,1.3079,0.07
12858.63,1.2966,0.07
12858.82,1.2825,0.07
12859.0,1.2683,0.07
12859.19,1.2621,0.07
12859.37,1.2729,0.07
12859.56,1.2738,0.07
12859.74,1.2683,0.07
12859.93,1.2508,0.07
12860.11,1.225,0.07
12860.3,1.1832,0.07
12860.48,1.0919,0.07
12860.66,1.0116,0.07
12860.85,0.9571,0.07
12861.03,0.9145,0.07
12861.22,0.8868,0.07
12861.4,0.8752,0.07
12861.59,0.8754,0.07
12861.77,0.8733,0.07
12861.96,0.8864,0.07
12862.14,0.9241,0.07
12862.33,0.9487,0.07
12862.51,0.9076,0.07
12862.69,0.8203,0.07
12862.88,0.7145,0.07
12863.06,0.6308,0.07
12863.25,0.5697,0.07
12863.43,0.527,0.07
12863.62,0.5357,0.07
12863.8,0.5517,0.07
12863.99,0.5842,0.07
12864.17,0.6041,0.07
12864.36,0.6372,0.07
12864.54,0.6699,0.07
12864.73,0.6733,0.07
12864.91,0.6657,0.07
12865.09,0.6891,0.07
12865.28,0.6873,0.07
12865.46,0.6527,0.07
12865.65,0.6212,0.07
12865.83,0.6397,0.07
12866.02,0.6819,0.07
12866.2,0.6693,0.07
12866.39,0.6689,0.07
12866.57,0.6354,0.07
12866.76,0.6017,0.07
12866.94,0.5961,0.07
12867.13,0.6354,0.07
12867.31,0.6985,0.07
12867.5,0.7513,0.07
12867.68,0.805,0.07
12867.86,0.8602,0.07
12868.05,0.8798,0.07
12868.23,0.8544,0.07
12868.42,0.8346,0.07
12868.6,0.7898,0.07
12868.79,0.7243,0.07
12868.97,0.6662,0.07
12869.16,0.6395,0.07
12869.34,0.6346,0.07
12869.53,0.674,0.07
12869.71,0.7711,0.07
12869.9,0.8643,0.07
12870.08,0.8996,0.07
12870.26,0.9352,0.07
12870.45,0.9847,0.07
12870.63,1.028,0.07
12870.82,1.0304,0.07
12871.0,1.0001,0.07
12871.19,0.9469,0.07
12871.37,0.9094,0.07
12871.56,0.91,0.07
12871.74,0.9613,0.07
12871.93,0.9972,0.07
12872.11,0.9883,0.07
12872.3,0.9977,0.07
12872.48,1.0281,0.07
12872.66,1.0713,0.07
12872.85,1.136,0.07
12873.03,1.1775,0.07
12873.22,1.1637,0.07
12873.4,1.0949,0.07
12873.59,1.037,0.07
12873.77,1.0288,0.07
12873.96,1.0035,0.07
12874.14,0.9717,0.07
12874.33,0.9567,0.07
12874.51,0.9306,0.07
12874.7,0.9195,0.07
12874.88,0.9577,0.07
12875.06,1.036,0.07
12875.25,1.1203,0.07
12875.43,1.1496,0.07
12875.62,1.1388,0.07
12875.8,1.109,0.07
12875.99,1.0771,0.07
12876.17,1.0778,0.07
12876.36,1.0869,0.07
12876.54,1.0683,0.07
12876.73,1.0449,0.07
12876.91,1.0257,0.07
12877.1,1.0321,0.07
12877.28,1.0406,0.07
12877.46,1.0899,0.07
12877.65,1.1081,0.07
12877.83,1.0825,0.07
12878.02,1.0261,0.07
12878.2,0.9863,0.07
12878.39,0.936,0.07
12878.57,0.9183,0.07
12878.76,0.9049,0.07
12878.94,0.9098,0.07
12879.13,0.9242,0.07
12879.31,0.9275,0.07
12879.5,0.9307,0.07
12879.68,0.958,0.07
12879.86,0.9775,0.07
12880.05,1.0152,0.07
12880.23,1.0343,0.07
12880.42,1.0461,0.07
12880.6,1.0592,0.07
12880.79,1.0793,0.07
12880.97,1.111,0.07
12881.16,1.1418,0.07
12881.34,1.1408,0.07
12881.52,1.086,0.07
12881.71,0.9886,0.07
12881.89,0.8991,0.07
12882.08,0.852,0.07
12882.26,0.8311,0.07
12882.45,0.8086,0.07
12882.63,0.7867,0.07
12882.82,0.7993,0.07
12883.0,0.862,0.07
12883.19,0.9225,0.07
12883.37,0.9597,0.07
12883.56,0.9384,0.07
12883.74,0.9057,0.07
12883.93,0.8634,0.07
12884.11,0.8124,0.07
12884.3,0.7565,0.07
12884.48,0.6903,0.07
12884.66,0.6451,0.07
12884.85,0.6517,0.07
12885.03,0.7124,0.07
12885.22,0.7623,0.07
12885.4,0.7729,0.07
12885.59,0.7189,0.07
12885.77,0.704,0.07
12885.96,0.72,0.07
12886.14,0.6968,0.07
12886.33,0.6377,0.07
12886.51,0.5731,0.07
12886.69,0.5153,0.07
12886.88,0.4665,0.07
12887.06,0.4748,0.07
12887.25,0.5298,0.07
12887.43,0.5769,0.07
12887.62,0.6264,0.07
12887.8,0.7007,0.07
12887.99,0.7689,0.07
12888.17,0.7993,0.07
12888.36,0.8285,0.07
12888.54,0.8676,0.07
12888.73,0.8977,0.07
12888.91,0.9177,0.07
12889.09,0.9464,0.07
12889.28,0.9596,0.07
12889.46,0.9492,0.07
12889.65,0.9158,0.07
12889.83,0.9104,0.07
12890.02,0.874,0.07
12890.2,0.8594,0.07
12890.39,0.8382,0.07
12890.57,0.806,0.07
12890.76,0.8006,0.07
12890.94,0.8062,0.07
12891.13,0.8456,0.07
12891.31,0.9229,0.07
12891.5,0.9899,0.07
12891.68,1.0259,0.07
12891.86,0.9956,0.07
12892.05,0.9273,0.07
12892.23,0.8882,0.07
12892.42,0.8346,0.07
12892.6,0.7507,0.07
12892.79,0.7031,0.07
12892.97,0.6798,0.07
12893.16,0.6708,0.07
12893.34,0.6879,0.07
12893.53,0.7614,0.07
12893.71,0.8732,0.07
12893.9,0.9611,0.07
12894.08,1.0312,0.07
12894.26,1.0889,0.07
12894.45,1.1101,0.07
12894.63,1.1053,0.07
12894.82,1.0769,0.07
12895.0,1.0487,0.07
12895.19,1.0131,0.07
12895.37,0.9737,0.07
12895.56,0.9239,0.07
12895.74,0.8524,0.07
12895.93,0.8228,0.07
12896.11,0.8322,0.07
12896.3,0.8275,0.07
12896.48,0.8438,0.07
12896.66,0.846,0.07
12896.85,0.8245,0.07
12897.03,0.7677,0.07
12897.22,0.7367,0.07
12897.4,0.6983,0.07
12897.59,0.6643,0.07
12897.77,0.6348,0.07
12897.96,0.6395,0.07
12898.14,0.678,0.07
12898.33,0.752,0.07
12898.51,0.86,0.07
12898.7,0.9805,0.07
12898.88,1.0946,0.07
12899.06,1.1897,0.07
12899.25,1.277,0.07
12899.43,1.2901,0.07
12899.62,1.2798,0.07
12899.8,1.2627,0.07
12899.99,1.2335,0.07
12900.17,1.1861,0.07
12900.36,1.1112,0.07
12900.54,1.0656,0.07
12900.73,1.0326,0.07
12900.91,0.9994,0.07
12901.1,0.9547,0.07
12901.28,0.9096,0.07
12901.46,0.8488,0.07
12901.65,0.8285,0.07
12901.83,0.8521,0.07
12902.02,0.9159,0.07
12902.2,0.9666,0.07
12902.39,1.0035,0.07
12902.57,1.0569,0.07
12902.76,1.136,0.07
12902.94,1.2227,0.07
12903.13,1.2957,0.07
12903.31,1.3198,0.07
12903.49,1.2871,0.07
12903.68,1.1971,0.07
12903.86,1.0862,0.07
12904.05,1.0047,0.07
12904.23,0.9531,0.07
12904.42,0.9193,0.07
12904.6,0.902,0.07
12904.79,0.9166,0.07
12904.97,0.9594,0.07
12905.16,1.0174,0.07
12905.34,1.0945,0.07
12905.52,1.1766,0.07
12905.71,1.2232,0.07
12905.89,1.243,0.07
12906.08,1.2478,0.07
12906.26,1.2474,0.07
12906.45,1.2303,0.07
12906.63,1.1716,0.07
12906.82,1.0771,0.07
12907.0,1.0005,0.07
12907.19,0.9564,0.07
12907.37,0.9274,0.07
12907.56,0.904,0.07
12907.74,0.8849,0.07
12907.93,0.8493,0.07
12908.11,0.8012,0.07
12908.29,0.8076,0.07
12908.48,0.8473,0.07
12908.66,0.8835,0.07
12908.85,0.8761,0.07
12909.03,0.8281,0.07
12909.22,0.7909,0.07
12909.4,0.7611,0.07
12909.59,0.7874,0.07
12909.77,0.8509,0.07
12909.96,0.9005,0.07
12910.14,0.9093,0.07
12910.33,0.9119,0.07
12910.51,0.9251,0.07
12910.69,0.9604,0.07
12910.88,0.9565,0.07
12911.06,0.9122,0.07
12911.25,0.8474,0.07
12911.43,0.7969,0.07
12911.62,0.7676,0.07
12911.8,0.7506,0.07
12911.99,0.7603,0.07
12912.17,0.7405,0.07
12912.36,0.7394,0.07
12912.54,0.7726,0.07
12912.73,0.844,0.07
12912.91,0.899,0.07
12913.1,0.9193,0.07
12913.28,0.9374,0.07
12913.46,0.9562,0.07
12913.65,0.9589,0.07
12913.83,0.9709,0.07
12914.02,0.9979,0.07
12914.2,1.0229,0.07
12914.39,1.048,0.07
12914.57,1.0721,0.07
12914.76,1.0771,0.07
12914.94,1.0467,0.07
12915.13,1.0207,0.07
12915.31,1.0111,0.07
12915.5,1.0141,0.07
12915.68,0.9982,0.07
12915.86,0.9762,0.07
12916.05,0.9624,0.07
12916.23,0.9589,0.07
12916.42,0.9689,0.07
12916.6,0.9891,0.07
12916.79,1.0221,0.07
12916.97,1.035,0.07
12917.16,1.0121,0.07
12917.34,0.9685,0.07
12917.53,0.9282,0.07
12917.71,0.8603,0.07
12917.9,0.7804,0.07
12918.08,0.7223,0.07
12918.26,0.6739,0.07
12918.45,0.6005,0.07
12918.63,0.563,0.07
12918.82,0.567,0.07
12919.0,0.583,0.07
12919.19,0.6307,0.07
12919.37,0.6932,0.07
12919.56,0.7426,0.07
12919.74,0.7725,0.07
12919.93,0.759,0.07
12920.11,0.7636,0.07
12920.29,0.7752,0.07
12920.48,0.78,0.07
12920.66,0.805,0.07
12920.85,0.7993,0.07
12921.03,0.7556,0.07
12921.22,0.7617,0.07
12921.4,0.7812,0.07
12921.59,0.7671,0.07
12921.77,0.7328,0.07
12921.96,0.663,0.07
12922.14,0.609,0.07
12922.32,0.5835,0.07
12922.51,0.5554,0.07
12922.7,0.5352,0.07
12922.88,0.5318,0.07
12923.06,0.5352,0.07
12923.25,0.5476,0.07
12923.43,0.5861,0.07
12923.62,0.6456,0.07
12923.8,0.6818,0.07
12923.99,0.7129,0.07
12924.17,0.7486,0.07
12924.36,0.7643,0.07
12924.54,0.7667,0.07
12924.73,0.7521,0.07
12924.91,0.7452,0.07
12925.1,0.735,0.07
12925.28,0.7089,0.07
12925.46,0.6861,0.07
12925.65,0.6539,0.07
12925.83,0.6193,0.07
12926.02,0.6436,0.07
12926.2,0.6951,0.07
12926.39,0.7261,0.07
12926.57,0.7684,0.07
12926.76,0.8348,0.07
12926.94,0.8955,0.07
12927.13,0.9214,0.07
12927.31,0.9559,0.07
12927.49,0.9966,0.07
12927.68,0.9665,0.07
12927.86,0.8823,0.07
12928.05,0.7975,0.07
12928.23,0.7234,0.07
12928.42,0.6279,0.07
12928.6,0.5251,0.07
12928.79,0.4711,0.07
12928.97,0.4682,0.07
12929.16,0.5025,0.07
12929.34,0.5672,0.07
12929.52,0.6351,0.07
12929.71,0.6753,0.07
12929.89,0.7123,0.07
12930.08,0.7558,0.07
12930.26,0.8186,0.07
12930.45,0.8614,0.07
12930.63,0.8737,0.07
12930.82,0.8451,0.07
12931.0,0.7879,0.07
12931.19,0.7796,0.07
12931.37,0.8091,0.07
12931.56,0.8368,0.07
12931.74,0.8716,0.07
12931.92,0.8846,0.07
12932.11,0.886,0.07
12932.29,0.8825,0.07
12932.48,0.8616,0.07
12932.66,0.8477,0.07
12932.85,0.8121,0.07
12933.03,0.7709,0.07
12933.22,0.7451,0.07
12933.4,0.7245,0.07
12933.59,0.7387,0.07
12933.77,0.7752,0.07
12933.96,0.8226,0.07
12934.14,0.8943,0.07
12934.33,0.9867,0.07
12934.51,1.0742,0.07
12934.69,1.1245,0.07
12934.88,1.1699,0.07
12935.06,1.2274,0.07
12935.25,1.2824,0.07
12935.43,1.3239,0.07
12935.62,1.3653,0.07
12935.8,1.3874,0.07
12935.99,1.4065,0.07
12936.17,1.4213,0.07
12936.36,1.4362,0.07
12936.54,1.4354,0.07
12936.73,1.415,0.07
12936.91,1.4023,0.07
12937.09,1.3797,0.07
12937.28,1.3481,0.07
12937.46,1.3176,0.07
12937.65,1.2885,0.07
12937.83,1.2605,0.07
12938.02,1.2405,0.07
12938.2,1.2326,0.07
12938.39,1.2237,0.07
12938.57,1.1742,0.07
12938.76,1.1474,0.07
12938.94,1.1298,0.07
12939.13,1.0841,0.07
12939.31,0.9993,0.07
12939.5,0.88,0.07
12939.68,0.7911,0.07
12939.86,0.7376,0.07
12940.05,0.7295,0.07
12940.23,0.765,0.07
12940.42,0.788,0.07
12940.6,0.7696,0.07
12940.79,0.7614,0.07
12940.97,0.8048,0.07
12941.16,0.8797,0.07
12941.34,0.9233,0.07
12941.53,0.9276,0.07
12941.71,0.9406,0.07
12941.9,0.9593,0.07
12942.08,0.9564,0.07
12942.26,0.9294,0.07
12942.45,0.9435,0.07
12942.63,0.9482,0.07
12942.82,0.9555,0.07
12943.0,0.9842,0.07
12943.19,1.0286,0.07
12943.37,1.0629,0.07
12943.56,1.1085,0.07
12943.74,1.1704,0.07
12943.93,1.2539,0.07
12944.11,1.3075,0.07
12944.29,1.3019,0.07
12944.48,1.2621,0.07
12944.66,1.2231,0.07
12944.85,1.199,0.07
12945.03,1.1947,0.07
12945.22,1.2047,0.07
12945.4,1.2322,0.07
12945.59,1.2786,0.07
12945.77,1.3139,0.07
12945.96,1.3398,0.07
12946.14,1.3601,0.07
12946.32,1.3743,0.07
12946.51,1.3509,0.07
12946.69,1.282,0.07
12946.88,1.1649,0.07
12947.06,1.0139,0.07
12947.25,0.8697,0.07
12947.43,0.73,0.07
12947.62,0.6282,0.07
12947.8,0.5513,0.07
12947.99,0.5005,0.07
12948.17,0.4821,0.07
12948.36,0.4908,0.07
12948.54,0.5466,0.07
12948.72,0.6219,0.07
12948.91,0.6965,0.07
12949.1,0.7184,0.07
12949.28,0.7275,0.07
12949.46,0.7386,0.07
12949.65,0.7252,0.07
12949.83,0.712,0.07
12950.02,0.7083,0.07
12950.2,0.712,0.07
12950.39,0.7165,0.07
12950.57,0.7098,0.07
12950.76,0.7061,0.07
12950.94,0.7385,0.07
12951.13,0.744,0.07
12951.31,0.7327,0.07
12951.49,0.7433,0.07
12951.68,0.7621,0.07
12951.86,0.7555,0.07
12952.05,0.7593,0.07
12952.23,0.7977,0.07
12952.42,0.8601,0.07
12952.6,0.8905,0.07
12952.79,0.9025,0.07
12952.97,0.9224,0.07
12953.16,0.9388,0.07
12953.34,0.9365,0.07
12953.52,0.932,0.07
12953.71,0.9223,0.07
12953.89,0.9002,0.07
12954.08,0.8787,0.07
12954.26,0.8631,0.07
12954.45,0.9037,0.07
12954.63,0.9371,0.07
12954.82,0.9944,0.07
12955.0,1.0481,0.07
12955.19,1.1034,0.07
12955.37,1.1717,0.07
12955.56,1.2175,0.07
12955.74,1.2401,0.07
12955.92,1.2422,0.07
12956.11,1.1705,0.07
12956.29,1.0915,0.07
12956.48,1.0232,0.07
12956.66,0.954,0.07
12956.85,0.8639,0.07
12957.03,0.7485,0.07
12957.22,0.6528,0.07
12957.4,0.5989,0.07
12957.59,0.5856,0.07
12957.77,0.5803,0.07
12957.96,0.5683,0.07
12958.14,0.5152,0.07
12958.33,0.4562,0.07
12958.51,0.4583,0.07
12958.69,0.5213,0.07
12958.88,0.6043,0.07
12959.06,0.6707,0.07
12959.25,0.7403,0.07
12959.43,0.8328,0.07
12959.62,0.9365,0.07
12959.8,0.9967,0.07
12959.99,1.0296,0.07
12960.17,1.0212,0.07
12960.36,0.97,0.07
12960.54,0.8874,0.07
12960.73,0.8204,0.07
12960.91,0.7858,0.07
12961.09,0.7898,0.07
12961.28,0.8285,0.07
12961.46,0.9046,0.07
12961.65,0.9787,0.07
12961.83,1.0511,0.07
12962.02,1.1166,0.07
12962.2,1.171,0.07
12962.39,1.1882,0.07
12962.57,1.1187,0.07
12962.76,1.0104,0.07
12962.94,0.8933,0.07
12963.13,0.7815,0.07
12963.31,0.7201,0.07
12963.5,0.689,0.07
12963.68,0.6729,0.07
12963.86,0.6703,0.07
12964.05,0.7156,0.07
12964.23,0.8088,0.07
12964.42,0.9363,0.07
12964.6,1.0318,0.07
12964.79,1.1166,0.07
12964.97,1.1553,0.07
12965.16,1.1649,0.07
12965.34,1.1185,0.07
12965.53,1.0477,0.07
12965.71,1.0033,0.07
12965.9,0.957,0.07
12966.08,0.913,0.07
12966.26,0.8627,0.07
12966.45,0.8279,0.07
12966.63,0.8315,0.07
12966.82,0.8385,0.07
12967.0,0.8576,0.07
12967.19,0.9042,0.07
12967.37,0.9057,0.07
12967.56,0.8604,0.07
12967.74,0.8485,0.07
12967.93,0.8685,0.07
12968.11,0.9086,0.07
12968.29,0.9095,0.07
12968.48,0.9287,0.07
12968.66,0.9596,0.07
12968.85,0.9784,0.07
12969.03,0.962,0.07
12969.22,0.9209,0.07
12969.4,0.8452,0.07
12969.59,0.7762,0.07
12969.77,0.7086,0.07
12969.96,0.6472,0.07
12970.14,0.6073,0.07
12970.32,0.5647,0.07
12970.51,0.5111,0.07
12970.69,0.4911,0.07
12970.88,0.5365,0.07
12971.06,0.6032,0.07
12971.25,0.6224,0.07
12971.43,0.6282,0.07
12971.62,0.6653,0.07
12971.8,0.7121,0.07
12971.99,0.7721,0.07
12972.17,0.8583,0.07
12972.36,0.9452,0.07
12972.54,0.9896,0.07
12972.72,0.9854,0.07
12972.91,0.9967,0.07
12973.09,1.0347,0.07
12973.28,1.0514,0.07
12973.46,1.0403,0.07
12973.65,1.0031,0.07
12973.83,0.92,0.07
12974.02,0.8181,0.07
12974.2,0.7155,0.07
12974.39,0.6603,0.07
12974.57,0.6526,0.07
12974.76,0.6431,0.07
12974.94,0.6494,0.07
12975.12,0.6729,0.07
12975.31,0.6859,0.07
12975.49,0.6921,0.07
12975.68,0.7381,0.07
12975.86,0.7755,0.07
12976.05,0.7813,0.07
12976.23,0.7288,0.07
12976.42,0.6934,0.07
12976.6,0.6741,0.07
12976.79,0.6867,0.07
12976.97,0.7453,0.07
12977.16,0.8415,0.07
12977.34,0.9197,0.07
12977.52,0.9647,0.07
12977.71,1.0115,0.07
12977.89,1.0402,0.07
12978.08,1.0387,0.07
12978.26,1.0288,0.07
12978.45,1.0305,0.07
12978.63,1.0063,0.07
12978.82,0.9847,0.07
12979.0,0.9746,0.07
12979.19,0.9792,0.07
12979.37,0.9865,0.07
12979.56,1.0176,0.07
12979.74,1.068,0.07
12979.92,1.0864,0.07
12980.11,1.0938,0.07
12980.29,1.1143,0.07
12980.48,1.1236,0.07
12980.66,1.1344,0.07
12980.85,1.127,0.07
12981.03,1.1175,0.07
12981.22,1.0693,0.07
12981.4,1.0292,0.07
12981.59,1.0209,0.07
12981.77,1.0268,0.07
12981.96,1.0132,0.07
12982.14,0.9987,0.07
12982.33,1.0036,0.07
12982.51,1.029,0.07
12982.69,1.066,0.07
12982.88,1.0676,0.07
12983.06,1.0527,0.07
12983.25,1.0267,0.07
12983.43,1.0055,0.07
12983.62,1.0008,0.07
12983.8,1.001,0.07
12983.99,0.9906,0.07
12984.17,0.9567,0.07
12984.36,0.9541,0.07
12984.54,0.9888,0.07
12984.73,1.0615,0.07
12984.91,1.1012,0.07
12985.09,1.1176,0.07
12985.28,1.1372,0.07
12985.46,1.1529,0.07
12985.65,1.1629,0.07
12985.83,1.1637,0.07
12986.02,1.1425,0.07
12986.2,1.1026,0.07
12986.39,1.0409,0.07
12986.57,0.9825,0.07
12986.76,0.9502,0.07
12986.94,0.9472,0.07
12987.12,0.9657,0.07
12987.31,0.9997,0.07
12987.49,1.0245,0.07
12987.68,1.0436,0.07
12987.86,1.0656,0.07
12988.05,1.0991,0.07
12988.23,1.1294,0.07
12988.42,1.1221,0.07
12988.6,1.0894,0.07
12988.79,1.0638,0.07
12988.97,1.0397,0.07
12989.16,1.0005,0.07
12989.34,0.9865,0.07
12989.53,0.9836,0.07
12989.71,0.9665,0.07
12989.9,0.9073,0.07
12990.08,0.8616,0.07
12990.26,0.8644,0.07
12990.45,0.8707,0.07
12990.63,0.878,0.07
12990.82,0.9022,0.07
12991.0,0.9141,0.07
12991.19,0.9289,0.07
12991.37,0.9632,0.07
12991.56,1.0192,0.07
12991.74,1.066,0.07
12991.93,1.0725,0.07
12992.11,1.0661,0.07
12992.29,1.0645,0.07
12992.48,1.0629,0.07
12992.66,1.0645,0.07
12992.85,1.0305,0.07
12993.03,0.9492,0.07
12993.22,0.8514,0.07
12993.4,0.7925,0.07
12993.59,0.7529,0.07
12993.77,0.7224,0.07
12993.96,0.7168,0.07
12994.14,0.7384,0.07
12994.32,0.7693,0.07
12994.51,0.8121,0.07
12994.69,0.8947,0.07
12994.88,0.9875,0.07
12995.06,1.0214,0.07
12995.25,1.0148,0.07
12995.43,0.9853,0.07
12995.62,0.9215,0.07
12995.8,0.8143,0.07
12995.99,0.72,0.07
12996.17,0.6562,0.07
12996.36,0.5912,0.07
12996.54,0.5196,0.07
12996.72,0.4702,0.07
12996.91,0.4787,0.07
12997.09,0.5204,0.07
12997.28,0.6011,0.07
12997.46,0.7128,0.07
12997.65,0.8087,0.07
12997.83,0.8666,0.07
12998.02,0.8998,0.07
12998.2,0.9159,0.07
12998.39,0.9025,0.07
12998.57,0.827,0.07
12998.76,0.7271,0.07
12998.94,0.6286,0.07
12999.12,0.5759,0.07
12999.31,0.5606,0.07
12999.49,0.574,0.07
12999.68,0.6133,0.07
12999.86,0.6544,0.07
13000.05,0.729,0.07
13000.23,0.8335,0.07
13000.42,0.9316,0.07
13000.6,1.0046,0.07
13000.79,1.0673,0.07
13000.97,1.1129,0.07
13001.16,1.166,0.07
13001.34,1.2128,0.07
13001.52,1.2638,0.07
13001.71,1.3135,0.07
13001.89,1.3056,0.07
13002.08,1.2777,0.07
13002.26,1.2425,0.07
13002.45,1.185,0.07
13002.63,1.1127,0.07
13002.82,1.0566,0.07
13003.0,1.0093,0.07
13003.19,0.9722,0.07
13003.37,0.927,0.07
13003.56,0.9036,0.07
13003.74,0.8985,0.07
13003.92,0.9102,0.07
13004.11,0.9085,0.07
13004.29,0.8749,0.07
13004.48,0.8318,0.07
13004.66,0.792,0.07
13004.85,0.7327,0.07
13005.03,0.679,0.07
13005.22,0.6468,0.07
13005.4,0.5742,0.07
13005.59,0.5018,0.07
13005.77,0.4741,0.07
13005.96,0.5141,0.07
13006.14,0.5783,0.07
13006.33,0.6076,0.07
13006.51,0.6296,0.07
13006.69,0.6387,0.07
13006.88,0.6451,0.07
13007.06,0.6751,0.07
13007.25,0.7142,0.07
13007.43,0.6852,0.07
13007.62,0.6365,0.07
13007.8,0.5708,0.07
13007.99,0.5685,0.07
13008.17,0.6247,0.07
13008.36,0.7093,0.07
13008.54,0.8106,0.07
13008.73,0.8872,0.07
13008.91,0.9737,0.07
13009.09,1.0497,0.07
13009.28,1.1284,0.07
13009.46,1.1839,0.07
13009.65,1.2026,0.07
13009.83,1.1747,0.07
13010.02,1.1325,0.07
13010.2,1.0874,0.07
13010.39,1.0455,0.07
13010.57,1.0227,0.07
13010.76,1.0103,0.07
13010.94,1.0202,0.07
13011.12,1.0096,0.07
13011.31,0.9723,0.07
13011.49,0.9303,0.07
13011.68,0.8539,0.07
13011.86,0.7917,0.07
13012.05,0.7118,0.07
13012.23,0.6283,0.07
13012.42,0.5557,0.07
13012.6,0.4837,0.07
13012.79,0.4025,0.07
13012.97,0.3637,0.07
13013.16,0.3786,0.07
13013.34,0.4226,0.07
13013.52,0.4896,0.07
