wavelength_Angstroms,flux,uncertainty
12850.88,0.8693,0.11
12851.06,0.802,0.11
12851.25,0.7643,0.11
12851.43,0.8625,0.11
12851.62,0.9723,0.11
12851.8,1.0416,0.11
12851.99,1.0915,0.11
12852.17,1.1246,0.11
12852.36,1.1601,0.11
12852.54,1.1904,0.11
12852.73,1.208,0.11
12852.91,1.2013,0.11
12853.1,1.1915,0.11
12853.28,1.2021,0.11
12853.46,1.2316,0.11
12853.65,1.2596,0.11
12853.83,1.2647,0.11
12854.02,1.2509,0.11
12854.2,1.2483,0.11
12854.39,1.2525,0.11
12854.57,1.2424,0.11
12854.76,1.2091,0.11
12854.94,1.1805,0.11
12855.13,1.1568,0.11
12855.31,1.1647,0.11
12855.49,1.1904,0.11
12855.68,1.2083,0.11
12855.86,1.2317,0.11
12856.05,1.266,0.11
12856.23,1.2862,0.11
12856.42,1.2929,0.11
12856.6,1.282,0.11
12856.79,1.2734,0.11
12856.97,1.2904,0.11
12857.16,1.3076,0.11
12857.34,1.3158,0.11
12857.53,1.3195,0.11
12857.71,1.3142,0.11
12857.9,1.2967,0.11
12858.08,1.2917,0.11
12858.26,1.2812,0.11
12858.45,1.2507,0.11
12858.63,1.1881,0.11
12858.82,1.1395,0.11
12859.0,1.1637,0.11
12859.19,1.1405,0.11
12859.37,1.0718,0.11
12859.56,0.9893,0.11
12859.74,0.9538,0.11
12859.93,1.0058,0.11
12860.11,1.0681,0.11
12860.3,1.0979,0.11
12860.48,1.1003,0.11
12860.66,1.0777,0.11
12860.85,1.041,0.11
12861.03,0.9958,0.11
12861.22,0.9519,0.11
12861.4,0.8973,0.11
12861.59,0.8161,0.11
12861.77,0.6952,0.11
12861.96,0.5612,0.11
12862.14,0.5795,0.11
12862.33,0.6991,0.11
12862.51,0.7767,0.11
12862.69,0.8375,0.11
12862.88,0.8809,0.11
12863.06,0.9008,0.11
12863.25,0.8964,0.11
12863.43,0.8744,0.11
12863.62,0.875,0.11
12863.8,0.8934,0.11
12863.99,0.912,0.11
12864.17,0.9349,0.11
12864.36,0.9415,0.11
12864.54,0.9072,0.11
12864.73,0.858,0.11
12864.91,0.8569,0.11
12865.09,0.8694,0.11
12865.28,0.8337,0.11
12865.46,0.7959,0.11
12865.65,0.8183,0.11
12865.83,0.8589,0.11
12866.02,0.9146,0.11
12866.2,0.9616,0.11
12866.39,0.9924,0.11
12866.57,1.0098,0.11
12866.76,1.001,0.11
12866.94,0.9541,0.11
12867.13,0.8635,0.11
12867.31,0.763,0.11
12867.5,0.7379,0.11
12867.68,0.8264,0.11
12867.86,0.894,0.11
12868.05,0.9291,0.11
12868.23,0.9758,0.11
12868.42,1.0118,0.11
12868.6,1.0124,0.11
12868.79,1.0437,0.11
12868.97,1.068,0.11
12869.16,1.0141,0.11
12869.34,0.9921,0.11
12869.53,1.0576,0.11
12869.71,1.1017,0.11
12869.9,1.1102,0.11
12870.08,1.1128,0.11
12870.26,1.1041,0.11
12870.45,1.1052,0.11
12870.63,1.1393,0.11
12870.82,1.1519,0.11
12871.0,1.1514,0.11
12871.19,1.1683,0.11
12871.37,1.1762,0.11
12871.56,1.1538,0.11
12871.74,1.131,0.11
12871.93,1.1558,0.11
12872.11,1.1534,0.11
12872.3,1.1106,0.11
12872.48,1.0268,0.11
12872.66,0.9252,0.11
12872.85,0.9649,0.11
12873.03,1.0541,0.11
12873.22,1.0622,0.11
12873.4,1.0931,0.11
12873.59,1.1213,0.11
12873.77,1.1242,0.11
12873.96,1.1559,0.11
12874.14,1.1803,0.11
12874.33,1.1827,0.11
12874.51,1.1641,0.11
12874.7,1.1126,0.11
12874.88,1.0123,0.11
12875.06,1.0098,0.11
12875.25,1.1053,0.11
12875.43,1.1654,0.11
12875.62,1.2034,0.11
12875.8,1.2265,0.11
12875.99,1.232,0.11
12876.17,1.2238,0.11
12876.36,1.214,0.11
12876.54,1.2066,0.11
12876.73,1.2114,0.11
12876.91,1.2103,0.11
12877.1,1.19,0.11
12877.28,1.1704,0.11
12877.46,1.1619,0.11
12877.65,1.1764,0.11
12877.83,1.2013,0.11
12878.02,1.1994,0.11
12878.2,1.2084,0.11
12878.39,1.22,0.11
12878.57,1.1995,0.11
12878.76,1.1811,0.11
12878.94,1.1752,0.11
12879.13,1.1763,0.11
12879.31,1.1749,0.11
12879.5,1.1594,0.11
12879.68,1.1328,0.11
12879.86,1.1024,0.11
12880.05,1.0672,0.11
12880.23,1.0127,0.11
12880.42,0.9259,0.11
12880.6,0.808,0.11
12880.79,0.6733,0.11
12880.97,0.6761,0.11
12881.16,0.7975,0.11
12881.34,0.8848,0.11
12881.52,0.9124,0.11
12881.71,0.8803,0.11
12881.89,0.9013,0.11
12882.08,0.9297,0.11
12882.26,0.8894,0.11
12882.45,0.8125,0.11
12882.63,0.7855,0.11
12882.82,0.8096,0.11
12883.0,0.8567,0.11
12883.19,0.875,0.11
12883.37,0.8335,0.11
12883.56,0.807,0.11
12883.74,0.8378,0.11
12883.93,0.8696,0.11
12884.11,0.8842,0.11
12884.3,0.8671,0.11
12884.48,0.7991,0.11
12884.66,0.6839,0.11
12884.85,0.6333,0.11
12885.03,0.6925,0.11
12885.22,0.7143,0.11
12885.4,0.6728,0.11
12885.59,0.6839,0.11
12885.77,0.7438,0.11
12885.96,0.7656,0.11
12886.14,0.7948,0.11
12886.33,0.8824,0.11
12886.51,0.9672,0.11
12886.69,1.0123,0.11
12886.88,1.0387,0.11
12887.06,1.0401,0.11
12887.25,1.0183,0.11
12887.43,1.0223,0.11
12887.62,1.045,0.11
12887.8,1.0336,0.11
12887.99,1.0197,0.11
12888.17,1.0401,0.11
12888.36,1.0428,0.11
12888.54,1.0181,0.11
12888.73,0.9593,0.11
12888.91,0.9266,0.11
12889.09,0.9235,0.11
12889.28,0.9571,0.11
12889.46,1.0213,0.11
12889.65,1.0318,0.11
12889.83,1.0139,0.11
12890.02,0.9973,0.11
12890.2,1.014,0.11
12890.39,1.0071,0.11
12890.57,0.9665,0.11
12890.76,0.8908,0.11
12890.94,0.7946,0.11
12891.13,0.6928,0.11
12891.31,0.6894,0.11
12891.5,0.78,0.11
12891.68,0.799,0.11
12891.86,0.8195,0.11
12892.05,0.8754,0.11
12892.23,0.9408,0.11
12892.42,1.0141,0.11
12892.6,1.0682,0.11
12892.79,1.0994,0.11
12892.97,1.1117,0.11
12893.16,1.1112,0.11
12893.34,1.0927,0.11
12893.53,1.0506,0.11
12893.71,1.0505,0.11
12893.9,1.0566,0.11
12894.08,1.0501,0.11
12894.26,1.0353,0.11
12894.45,1.0243,0.11
12894.63,1.013,0.11
12894.82,0.985,0.11
12895.0,0.9674,0.11
12895.19,1.0052,0.11
12895.37,1.0402,0.11
12895.56,1.0403,0.11
12895.74,1.012,0.11
12895.93,0.9532,0.11
12896.11,0.8903,0.11
12896.3,0.8693,0.11
12896.48,0.8703,0.11
12896.66,0.863,0.11
12896.85,0.9086,0.11
12897.03,0.9899,0.11
12897.22,1.0488,0.11
12897.4,1.0984,0.11
12897.59,1.1546,0.11
12897.77,1.1954,0.11
12897.96,1.2168,0.11
12898.14,1.2262,0.11
12898.33,1.2324,0.11
12898.51,1.2342,0.11
12898.7,1.2276,0.11
12898.88,1.213,0.11
12899.06,1.183,0.11
12899.25,1.132,0.11
12899.43,1.0846,0.11
12899.62,1.0767,0.11
12899.8,1.1221,0.11
12899.99,1.1489,0.11
12900.17,1.1328,0.11
12900.36,1.0976,0.11
12900.54,1.0521,0.11
12900.73,1.0677,0.11
12900.91,1.1459,0.11
12901.1,1.1969,0.11
12901.28,1.2209,0.11
12901.46,1.2294,0.11
12901.65,1.2317,0.11
12901.83,1.2258,0.11
12902.02,1.2039,0.11
12902.2,1.1681,0.11
12902.39,1.1201,0.11
12902.57,1.0478,0.11
12902.76,0.9511,0.11
12902.94,0.8371,0.11
12903.13,0.8695,0.11
12903.31,1.0016,0.11
12903.49,1.0807,0.11
12903.68,1.1268,0.11
12903.86,1.1506,0.11
12904.05,1.1743,0.11
12904.23,1.1826,0.11
12904.42,1.1816,0.11
12904.6,1.1753,0.11
12904.79,1.1614,0.11
12904.97,1.1392,0.11
12905.16,1.093,0.11
12905.34,1.0456,0.11
12905.52,0.9909,0.11
12905.71,0.8824,0.11
12905.89,0.7456,0.11
12906.08,0.7004,0.11
12906.26,0.765,0.11
12906.45,0.8534,0.11
12906.63,0.9228,0.11
12906.82,0.9382,0.11
12907.0,0.9075,0.11
12907.19,0.8597,0.11
12907.37,0.8677,0.11
12907.56,0.9213,0.11
12907.74,0.9685,0.11
12907.93,1.0056,0.11
12908.11,1.0157,0.11
12908.29,1.021,0.11
12908.48,1.0234,0.11
12908.66,1.0321,0.11
12908.85,1.0489,0.11
12909.03,1.0207,0.11
12909.22,1.0067,0.11
12909.4,1.0061,0.11
12909.59,1.008,0.11
12909.77,1.0157,0.11
12909.96,0.9777,0.11
12910.14,0.9051,0.11
12910.33,0.8627,0.11
12910.51,0.909,0.11
12910.69,0.9853,0.11
12910.88,1.0443,0.11
12911.06,1.088,0.11
12911.25,1.1062,0.11
12911.43,1.1117,0.11
12911.62,1.1267,0.11
12911.8,1.1436,0.11
12911.99,1.1679,0.11
12912.17,1.1955,0.11
12912.36,1.2128,0.11
12912.54,1.2174,0.11
12912.73,1.2116,0.11
12912.91,1.2108,0.11
12913.1,1.2169,0.11
12913.28,1.2264,0.11
12913.46,1.2274,0.11
12913.65,1.21,0.11
12913.83,1.1937,0.11
12914.02,1.1542,0.11
12914.2,1.1162,0.11
12914.39,1.1477,0.11
12914.57,1.1756,0.11
12914.76,1.1747,0.11
12914.94,1.1682,0.11
12915.13,1.1636,0.11
12915.31,1.1518,0.11
12915.5,1.1281,0.11
12915.68,1.0934,0.11
12915.86,1.0716,0.11
12916.05,1.0574,0.11
12916.23,1.0178,0.11
12916.42,0.941,0.11
12916.6,0.8876,0.11
12916.79,0.8603,0.11
12916.97,0.7893,0.11
12917.16,0.7837,0.11
12917.34,0.8277,0.11
12917.53,0.8077,0.11
12917.71,0.7997,0.11
12917.9,0.8652,0.11
12918.08,0.8959,0.11
12918.26,0.9119,0.11
12918.45,0.9287,0.11
12918.63,0.9005,0.11
12918.82,0.8527,0.11
12919.0,0.8241,0.11
12919.19,0.7865,0.11
12919.37,0.8255,0.11
12919.56,0.8845,0.11
12919.74,0.8844,0.11
12919.93,0.8503,0.11
12920.11,0.7831,0.11
12920.29,0.7355,0.11
12920.48,0.7337,0.11
12920.66,0.6811,0.11
12920.85,0.5598,0.11
12921.03,0.5136,0.11
12921.22,0.5761,0.11
12921.4,0.6029,0.11
12921.59,0.6354,0.11
12921.77,0.6181,0.11
12921.96,0.6232,0.11
12922.14,0.6996,0.11
12922.32,0.7389,0.11
12922.51,0.7221,0.11
12922.7,0.7437,0.11
12922.88,0.7992,0.11
12923.06,0.8127,0.11
12923.25,0.7802,0.11
12923.43,0.7029,0.11
12923.62,0.6518,0.11
12923.8,0.7157,0.11
12923.99,0.7754,0.11
12924.17,0.7963,0.11
12924.36,0.8236,0.11
12924.54,0.8481,0.11
12924.73,0.8267,0.11
12924.91,0.7782,0.11
12925.1,0.8073,0.11
12925.28,0.8854,0.11
12925.46,0.9427,0.11
12925.65,0.9661,0.11
12925.83,0.9745,0.11
12926.02,0.9714,0.11
12926.2,0.9337,0.11
12926.39,0.8718,0.11
12926.57,0.8103,0.11
12926.76,0.7243,0.11
12926.94,0.6152,0.11
12927.13,0.628,0.11
12927.31,0.6986,0.11
12927.49,0.7008,0.11
12927.68,0.6546,0.11
12927.86,0.6744,0.11
12928.05,0.7819,0.11
12928.23,0.8647,0.11
12928.42,0.913,0.11
12928.6,0.9229,0.11
12928.79,0.9021,0.11
12928.97,0.906,0.11
12929.16,0.9205,0.11
12929.34,0.9375,0.11
12929.52,0.9629,0.11
12929.71,0.9561,0.11
12929.89,0.9168,0.11
12930.08,0.8248,0.11
12930.26,0.8093,0.11
12930.45,0.9137,0.11
12930.63,0.9896,0.11
12930.82,1.0169,0.11
12931.0,1.0307,0.11
12931.19,1.032,0.11
12931.37,1.0013,0.11
12931.56,0.9471,0.11
12931.74,0.8973,0.11
12931.92,0.8901,0.11
12932.11,0.9524,0.11
12932.29,1.0363,0.11
12932.48,1.0815,0.11
12932.66,1.1105,0.11
12932.85,1.1533,0.11
12933.03,1.191,0.11
12933.22,1.2127,0.11
12933.4,1.2279,0.11
12933.59,1.2528,0.11
12933.77,1.2711,0.11
12933.96,1.2758,0.11
12934.14,1.2865,0.11
12934.33,1.2903,0.11
12934.51,1.2841,0.11
12934.69,1.2749,0.11
12934.88,1.2636,0.11
12935.06,1.2574,0.11
12935.25,1.2787,0.11
12935.43,1.2944,0.11
12935.62,1.2897,0.11
12935.8,1.2678,0.11
12935.99,1.2508,0.11
12936.17,1.2345,0.11
12936.36,1.1863,0.11
12936.54,1.1788,0.11
12936.73,1.1945,0.11
12936.91,1.1877,0.11
12937.09,1.1809,0.11
12937.28,1.1448,0.11
12937.46,1.1123,0.11
12937.65,1.0697,0.11
12937.83,1.0259,0.11
12938.02,0.9873,0.11
12938.2,0.9144,0.11
12938.39,0.7918,0.11
12938.57,0.6029,0.11
12938.76,0.5724,0.11
12938.94,0.7183,0.11
12939.13,0.8342,0.11
12939.31,0.9241,0.11
12939.5,0.9462,0.11
12939.68,0.9122,0.11
12939.86,0.8388,0.11
12940.05,0.8649,0.11
12940.23,0.9657,0.11
12940.42,1.0197,0.11
12940.6,1.0293,0.11
12940.79,1.0145,0.11
12940.97,1.0036,0.11
12941.16,0.9623,0.11
12941.34,0.8615,0.11
12941.53,0.8362,0.11
12941.71,0.9458,0.11
12941.9,1.046,0.11
12942.08,1.1085,0.11
12942.26,1.1496,0.11
12942.45,1.1703,0.11
12942.63,1.1802,0.11
12942.82,1.1767,0.11
12943.0,1.1482,0.11
12943.19,1.1009,0.11
12943.37,1.119,0.11
12943.56,1.1451,0.11
12943.74,1.1429,0.11
12943.93,1.1634,0.11
12944.11,1.1679,0.11
12944.29,1.1687,0.11
12944.48,1.159,0.11
12944.66,1.1454,0.11
12944.85,1.1231,0.11
12945.03,1.0499,0.11
12945.22,1.0011,0.11
12945.4,0.9989,0.11
12945.59,0.9466,0.11
12945.77,0.8603,0.11
12945.96,0.7398,0.11
12946.14,0.6226,0.11
12946.32,0.5537,0.11
12946.51,0.5798,0.11
12946.69,0.6598,0.11
12946.88,0.7267,0.11
12947.06,0.8012,0.11
12947.25,0.8707,0.11
12947.43,0.9063,0.11
12947.62,0.9227,0.11
12947.8,0.9355,0.11
12947.99,0.9442,0.11
12948.17,0.9192,0.11
12948.36,0.8915,0.11
12948.54,0.9269,0.11
12948.72,0.9615,0.11
12948.91,0.9761,0.11
12949.1,0.9889,0.11
12949.28,1.0004,0.11
12949.46,1.0097,0.11
12949.65,1.0103,0.11
12949.83,0.9721,0.11
12950.02,0.9531,0.11
12950.2,0.9944,0.11
12950.39,1.0093,0.11
12950.57,1.0102,0.11
12950.76,1.0272,0.11
12950.94,1.0228,0.11
12951.13,1.0027,0.11
12951.31,1.0304,0.11
12951.49,1.0607,0.11
12951.68,1.0521,0.11
12951.86,1.0148,0.11
12952.05,1.0208,0.11
12952.23,1.0338,0.11
12952.42,1.0126,0.11
12952.6,1.0191,0.11
12952.79,1.0498,0.11
12952.97,1.0633,0.11
12953.16,1.0627,0.11
12953.34,1.0271,0.11
12953.52,1.0006,0.11
12953.71,1.0249,0.11
12953.89,1.0425,0.11
12954.08,1.05,0.11
12954.26,1.0537,0.11
12954.45,1.0381,0.11
12954.63,1.0038,0.11
12954.82,0.946,0.11
12955.0,0.8606,0.11
12955.19,0.7175,0.11
12955.37,0.6242,0.11
12955.56,0.6763,0.11
12955.74,0.6944,0.11
12955.92,0.6354,0.11
12956.11,0.5133,0.11
12956.29,0.4379,0.11
12956.48,0.5082,0.11
12956.66,0.5806,0.11
12956.85,0.589,0.11
12957.03,0.5624,0.11
12957.22,0.5363,0.11
12957.4,0.4816,0.11
12957.59,0.5247,0.11
12957.77,0.6803,0.11
12957.96,0.8101,0.11
12958.14,0.8887,0.11
12958.33,0.9372,0.11
12958.51,0.9657,0.11
12958.69,0.974,0.11
12958.88,0.956,0.11
12959.06,0.9094,0.11
12959.25,0.8902,0.11
12959.43,0.9159,0.11
12959.62,0.9232,0.11
12959.8,0.9472,0.11
12959.99,0.9936,0.11
12960.17,1.0346,0.11
12960.36,1.0559,0.11
12960.54,1.0558,0.11
12960.73,1.0448,0.11
12960.91,1.0211,0.11
12961.09,0.9951,0.11
12961.28,0.9539,0.11
12961.46,0.8821,0.11
12961.65,0.7681,0.11
12961.83,0.6282,0.11
12962.02,0.6311,0.11
12962.2,0.6877,0.11
12962.39,0.7633,0.11
12962.57,0.8702,0.11
12962.76,0.9358,0.11
12962.94,0.988,0.11
12963.13,1.026,0.11
12963.31,1.05,0.11
12963.5,1.0616,0.11
12963.68,1.0649,0.11
12963.86,1.0516,0.11
12964.05,1.016,0.11
12964.23,0.9533,0.11
12964.42,0.8741,0.11
12964.6,0.7741,0.11
12964.79,0.783,0.11
12964.97,0.8692,0.11
12965.16,0.9333,0.11
12965.34,0.9787,0.11
12965.53,0.9894,0.11
12965.71,0.9997,0.11
12965.9,1.0022,0.11
12966.08,0.9872,0.11
12966.26,0.9661,0.11
12966.45,0.9376,0.11
12966.63,0.8618,0.11
12966.82,0.8351,0.11
12967.0,0.9043,0.11
12967.19,0.9454,0.11
12967.37,0.9466,0.11
12967.56,0.927,0.11
12967.74,0.9041,0.11
12967.93,0.8542,0.11
12968.11,0.7724,0.11
12968.29,0.6455,0.11
12968.48,0.5409,0.11
12968.66,0.5966,0.11
12968.85,0.6907,0.11
12969.03,0.7171,0.11
12969.22,0.7051,0.11
12969.4,0.6977,0.11
12969.59,0.6356,0.11
12969.77,0.579,0.11
12969.96,0.6697,0.11
12970.14,0.7967,0.11
12970.32,0.8649,0.11
12970.51,0.896,0.11
12970.69,0.9238,0.11
12970.88,0.9582,0.11
12971.06,0.9818,0.11
12971.25,0.9871,0.11
12971.43,0.9836,0.11
12971.62,0.9694,0.11
12971.8,0.9351,0.11
12971.99,0.8823,0.11
12972.17,0.8447,0.11
12972.36,0.827,0.11
12972.54,0.7834,0.11
12972.72,0.7072,0.11
12972.91,0.5825,0.11
12973.09,0.4257,0.11
12973.28,0.4045,0.11
12973.46,0.5134,0.11
12973.65,0.6483,0.11
12973.83,0.738,0.11
12974.02,0.7773,0.11
12974.2,0.7812,0.11
12974.39,0.7344,0.11
12974.57,0.6151,0.11
12974.76,0.5991,0.11
12974.94,0.7324,0.11
12975.12,0.8096,0.11
12975.31,0.8276,0.11
12975.49,0.8496,0.11
12975.68,0.8985,0.11
12975.86,0.9454,0.11
12976.05,0.9934,0.11
12976.23,1.0074,0.11
12976.42,0.9649,0.11
12976.6,0.9866,0.11
12976.79,1.0461,0.11
12976.97,1.0384,0.11
12977.16,1.0326,0.11
12977.34,1.0667,0.11
12977.52,1.1125,0.11
12977.71,1.1336,0.11
12977.89,1.1478,0.11
12978.08,1.1639,0.11
12978.26,1.1749,0.11
12978.45,1.175,0.11
12978.63,1.1794,0.11
12978.82,1.1887,0.11
12979.0,1.1921,0.11
12979.19,1.1946,0.11
12979.37,1.1933,0.11
12979.56,1.1677,0.11
12979.74,1.1484,0.11
12979.92,1.1512,0.11
12980.11,1.1384,0.11
12980.29,1.1127,0.11
12980.48,1.0926,0.11
12980.66,1.1096,0.11
12980.85,1.1397,0.11
12981.03,1.1514,0.11
12981.22,1.1421,0.11
12981.4,1.1282,0.11
12981.59,1.1349,0.11
12981.77,1.1431,0.11
12981.96,1.1192,0.11
12982.14,1.0917,0.11
12982.33,1.1057,0.11
12982.51,1.1272,0.11
12982.69,1.1383,0.11
12982.88,1.1535,0.11
12983.06,1.1524,0.11
12983.25,1.1532,0.11
12983.43,1.1784,0.11
12983.62,1.2007,0.11
12983.8,1.2157,0.11
12983.99,1.2264,0.11
12984.17,1.2232,0.11
12984.36,1.2053,0.11
12984.54,1.1836,0.11
12984.73,1.1486,0.11
12984.91,1.1341,0.11
12985.09,1.136,0.11
12985.28,1.1398,0.11
12985.46,1.1469,0.11
12985.65,1.1432,0.11
12985.83,1.1473,0.11
12986.02,1.1585,0.11
12986.2,1.1453,0.11
12986.39,1.1284,0.11
12986.57,1.1484,0.11
12986.76,1.1646,0.11
12986.94,1.162,0.11
12987.12,1.1438,0.11
12987.31,1.113,0.11
12987.49,1.095,0.11
12987.68,1.1052,0.11
12987.86,1.1218,0.11
12988.05,1.12,0.11
12988.23,1.1006,0.11
12988.42,1.086,0.11
12988.6,1.0811,0.11
12988.79,1.0591,0.11
12988.97,1.0041,0.11
12989.16,0.9658,0.11
12989.34,0.9849,0.11
12989.53,1.0258,0.11
12989.71,1.0672,0.11
12989.9,1.0868,0.11
12990.08,1.0898,0.11
12990.26,1.0962,0.11
12990.45,1.1062,0.11
12990.63,1.1054,0.11
12990.82,1.0944,0.11
12991.0,1.0736,0.11
12991.19,1.0414,0.11
12991.37,1.009,0.11
12991.56,0.9738,0.11
12991.74,0.9112,0.11
12991.93,0.8204,0.11
12992.11,0.6981,0.11
12992.29,0.5573,0.11
12992.48,0.5479,0.11
12992.66,0.672,0.11
12992.85,0.7803,0.11
12993.03,0.8462,0.11
12993.22,0.8779,0.11
12993.4,0.8844,0.11
12993.59,0.8949,0.11
12993.77,0.9017,0.11
12993.96,0.8894,0.11
12994.14,0.8566,0.11
12994.32,0.8087,0.11
12994.51,0.7454,0.11
12994.69,0.6488,0.11
12994.88,0.4834,0.11
12995.06,0.3988,0.11
12995.25,0.5073,0.11
12995.43,0.5945,0.11
12995.62,0.6259,0.11
12995.8,0.6455,0.11
12995.99,0.6882,0.11
12996.17,0.7696,0.11
12996.36,0.8234,0.11
12996.54,0.8458,0.11
12996.72,0.8402,0.11
12996.91,0.8148,0.11
12997.09,0.7829,0.11
12997.28,0.7261,0.11
12997.46,0.6341,0.11
12997.65,0.4919,0.11
12997.83,0.4482,0.11
12998.02,0.5765,0.11
12998.2,0.6962,0.11
12998.39,0.7831,0.11
12998.57,0.8445,0.11
12998.76,0.8873,0.11
12998.94,0.9119,0.11
12999.12,0.9215,0.11
12999.31,0.9651,0.11
12999.49,1.0216,0.11
12999.68,1.0606,0.11
12999.86,1.0854,0.11
13000.05,1.1025,0.11
13000.23,1.1172,0.11
13000.42,1.1154,0.11
13000.6,1.1048,0.11
13000.79,1.1008,0.11
13000.97,1.0836,0.11
13001.16,1.0634,0.11
13001.34,1.0626,0.11
13001.52,1.0439,0.11
13001.71,1.0122,0.11
13001.89,1.0186,0.11
13002.08,1.0357,0.11
13002.26,1.017,0.11
13002.45,0.9785,0.11
13002.63,0.9574,0.11
13002.82,0.9406,0.11
13003.0,0.894,0.11
13003.19,0.8248,0.11
13003.37,0.7572,0.11
13003.56,0.7253,0.11
13003.74,0.736,0.11
13003.92,0.7344,0.11
13004.11,0.6998,0.11
13004.29,0.6615,0.11
13004.48,0.582,0.11
13004.66,0.481,0.11
13004.85,0.5545,0.11
13005.03,0.6827,0.11
13005.22,0.7446,0.11
13005.4,0.7619,0.11
13005.59,0.7414,0.11
13005.77,0.6876,0.11
13005.96,0.6588,0.11
13006.14,0.7005,0.11
13006.33,0.7228,0.11
13006.51,0.6784,0.11
13006.69,0.6232,0.11
13006.88,0.6237,0.11
13007.06,0.6875,0.11
13007.25,0.8207,0.11
13007.43,0.917,0.11
13007.62,0.9683,0.11
13007.8,0.9886,0.11
13007.99,0.987,0.11
13008.17,0.9857,0.11
13008.36,0.9995,0.11
13008.54,1.005,0.11
13008.73,0.9965,0.11
13008.91,0.9626,0.11
13009.09,0.9329,0.11
13009.28,0.9408,0.11
13009.46,0.949,0.11
13009.65,0.9426,0.11
13009.83,0.913,0.11
13010.02,0.8589,0.11
13010.2,0.8149,0.11
13010.39,0.7649,0.11
13010.57,0.6997,0.11
13010.76,0.5962,0.11
13010.94,0.4966,0.11
13011.12,0.5138,0.11
13011.31,0.5231,0.11
13011.49,0.5063,0.11
13011.68,0.464,0.11
13011.86,0.3601,0.11
13012.05,0.358,0.11
13012.23,0.4786,0.11
13012.42,0.5772,0.11
13012.6,0.6285,0.11
13012.79,0.6378,0.11
13012.97,0.6105,0.11
13013.16,0.5816,0.11
13013.34,0.5637,0.11
13013.52,0.4884,0.11
